Library,Module,Caller,API Name,Inputs,Outputs
catboost,text_features,data,Tokenizer,['text data'],['tokenized data']
catboost,,data,Pool,"['features', 'labels', 'initial_formula_values']",['data']
catboost,,model,CatBoostRegressor,['hyperparameter'],['model']
catboost,,model,eval_metrics,['evaluation data'],['metric']
catboost,,model,fit,"['features', 'labels']",['trained model']
catboost,,model,get_feature_importance,['features'],['feature importance values']
catboost,,model,save_model,"['model', 'format']",['model artifact']
catboost,,,CatBoostClassifier,['hyperparameter'],['model']
pandas,,data,copy,[],['data']
pandas,,data,fillna,[],['data']
pandas,,data,filter,['condition'],['features']
pandas,,data,fit,"['features', 'labels']",['trained_model']
pandas,,data,head,[],['data']
pandas,,data,iloc,['columns_range'],['features']
pandas,,features,drop,['features'],['features']
pandas,,trained_model,predict,['features'],['predictions']
pandas,,,DataFrame,['data'],['data']
pandas,,,concat,['data'],['data']
pandas,,,get_dummies,['features'],['features']
pandas,,,read_csv,['file_path'],['data']
sklearn,base,model,clone,['model'],['model']
sklearn,base,model,is_classifier,['model'],['metric']
sklearn,base,model,set_params,['hyperparameter'],['model']
sklearn,calibration,,CalibratedClassifierCV,"['estimator', 'hyperparameter']",['model']
sklearn,cluster,,BisectingKMeans,['hyperparameter'],['model']
sklearn,cluster,,KMeans,['hyperparameter'],['model']
sklearn,cluster,,spectral_clustering,"['features', 'hyperparameter']",['labels']
sklearn,compose,data,ColumnTransformer,['transformer definitions'],['data transformer']
sklearn,compose,,make_column_transformer,['transformer definitions'],['data transformer']
sklearn,covariance,data,ShrunkCovariance,['hyperparameter'],['model']
sklearn,covariance,data,empirical_covariance,['features'],['covariance matrix']
sklearn,covariance,metric,ledoit_wolf_shrinkage,['features'],['metric']
sklearn,covariance,,EmpiricalCovariance,['hyperparameter'],['model']
sklearn,covariance,,GraphicalLasso,['hyperparameter'],['model']
sklearn,datasets,data,dump_svmlight_file,"['features', 'labels', 'file_path']",['data_artifact']
sklearn,datasets,data,fetch_lfw_pairs,[],"['data', 'labels']"
sklearn,datasets,data,fetch_lfw_people,[],"['data', 'labels']"
sklearn,datasets,data,load_sample_image,['image_name'],['image_data']
sklearn,datasets,data,load_sample_images,[],['data']
sklearn,datasets,data,load_svmlight_file,['file_path'],"['features', 'labels']"
sklearn,datasets,data,load_svmlight_files,['file_paths'],"['features', 'labels']"
sklearn,datasets,data,load_wine,[],"['data', 'target']"
sklearn,datasets,,load_diabetes,[],"['data', 'labels']"
sklearn,datasets,,make_gaussian_quantiles,[],"['data', 'labels']"
sklearn,datasets,,make_moons,[],"['data', 'labels']"
sklearn,decomposition,data,FactorAnalysis,['hyperparameter'],['data transformer']
sklearn,decomposition,,DictionaryLearning,['hyperparameter'],['data transformer']
sklearn,decomposition,,KernelPCA,['hyperparameter'],['data transformer']
sklearn,decomposition,,SparsePCA,['hyperparameter'],['data transformer']
sklearn,decomposition,,TruncatedSVD,['hyperparameter'],['data transformer']
sklearn,ensemble,model,AdaBoostRegressor,['hyperparameter'],['model']
sklearn,ensemble,model,GradientBoostingRegressor,['hyperparameter'],['model']
sklearn,ensemble,model,fit,"['features', 'labels']",['trained model']
sklearn,ensemble,,ExtraTreesClassifier,['hyperparameter'],['model']
sklearn,ensemble,,ExtraTreesRegressor,['hyperparameter'],['model']
sklearn,ensemble,,IsolationForest,['hyperparameter'],['model']
sklearn,feature_extraction,,DictVectorizer,['hyperparameter'],['data transformer']
sklearn,feature_extraction.image,data,grid_to_graph,"['data_dimensions', 'mask']",['features']
sklearn,feature_extraction.text,model,fit_transform,['raw text documents'],['document-term matrix']
sklearn,feature_extraction.text,,TfidfTransformer,['hyperparameter'],['data transformer']
sklearn,feature_selection,metric,mutual_info_regression,"['features', 'labels']",['metric']
sklearn,feature_selection,,RFECV,"['model', 'hyperparameter']",['model']
sklearn,impute,data,transform,['features'],['features']
sklearn,impute,,KNNImputer,['hyperparameter'],['data transformer']
sklearn,impute,,SimpleImputer,['hyperparameter'],['data transformer']
sklearn,linear_model,data,orthogonal_mp,"['features', 'labels']",['model coefficients']
sklearn,linear_model,model,fit,"['train_features', 'train_labels']",['trained_model']
sklearn,linear_model,trained_model,predict,['features'],['predictions']
sklearn,linear_model,,ElasticNetCV,['hyperparameter'],['model']
sklearn,linear_model,,LassoCV,['hyperparameter'],['model']
sklearn,linear_model,,LogisticRegression,"['features', 'labels']",['model']
sklearn,manifold,metric,trustworthiness,"['features', 'X_embedded']",['metric']
sklearn,manifold,,LocallyLinearEmbedding,['hyperparameter'],['data transformer']
sklearn,manifold,,smacof,"['dissimilarities', 'hyperparameter']","['features', 'metric']"
sklearn,metrics,metric,PrecisionRecallDisplay.from_predictions,"['labels', 'predictions']",['display_object']
sklearn,metrics,metric,RocCurveDisplay.from_predictions,"['labels', 'predictions']",['display_object']
sklearn,metrics,metric,accuracy_score,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,classification_report,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,cohen_kappa_score,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,confusion_matrix,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,coverage_error,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,d2_brier_score,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,f1_score,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,hinge_loss,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,log_loss,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,max_error,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,mean_gamma_deviance,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,mean_pinball_loss,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,mean_tweedie_deviance,"['labels', 'predictions', 'hyperparameter']",['metric']
sklearn,metrics,metric,multilabel_confusion_matrix,"['y_true', 'y_pred']",['multi_confusion_matrix']
sklearn,metrics,metric,mutual_info_score,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,ndcg_score,"['labels', 'predictions']",['metric']
sklearn,metrics,metric,v_measure_score,"['labels', 'predictions']",['metric']
