Library,Module,Caller,API Name,Inputs,Outputs
catboost,text_features,data,Tokenizer,['text data'],['tokenized data']
catboost,,data,Pool,"['features', 'labels', 'initial_formula_values']",['data']
catboost,,model,CatBoostRegressor,['hyperparameter'],['model']
catboost,,model,eval_metrics,['evaluation data'],['metric']
catboost,,model,fit,"['features', 'labels']",['trained_model']
catboost,,trained_model,get_feature_importance,['features'],['feature importance values']
catboost,,trained_model,save_model,"['model', 'format']",['model artifact']
catboost,,,CatBoostClassifier,['hyperparameter'],['model']
keras,callbacks,,EarlyStopping,['hyperparameter'],['hyperparameter']
keras,callbacks,,ModelCheckpoint,['hyperparameter'],['hyperparameter']
keras,layers,model,BatchNormalization,[],['model']
keras,layers,model,Dropout,['hyperparameter'],['model']
keras,layers,model,Embedding,['hyperparameter'],['model']
keras,layers,model,Flatten,[],['model']
keras,layers,model,GRU,['hyperparameter'],['model']
keras,layers,model,LSTM,['hyperparameter'],['model']
keras,layers,model,MaxPooling2D,['hyperparameter'],['model']
keras,models,,Model,"['inputs', 'outputs']",['model']
keras,models,,load_model,['file_path'],['model']
keras,,model,evaluate,"['features', 'labels']",['metric']
keras,,trained_model,save,['file_path'],[]
lightgbm,,model,fit,"['features', 'labels']",['trained_model']
lightgbm,,trained_model,predict,['features'],['predictions']
lightgbm,,trained_model,save_model,['file_path'],[]
lightgbm,,,Dataset,"['features', 'labels']",['data']
lightgbm,,,LGBMClassifier,['hyperparameter'],['model']
lightgbm,,,LGBMRegressor,['hyperparameter'],['model']
lightgbm,,,train,"['hyperparameter', 'data']",['trained_model']
numpy,,data,argmax,[],['data']
numpy,,data,argmin,[],['data']
numpy,,data,dot,['data'],['data']
numpy,,data,reshape,['hyperparameter'],['data']
numpy,,data,transpose,[],['data']
numpy,,,arange,['hyperparameter'],['data']
numpy,,,array,['data'],['data']
numpy,,,asarray,['data'],['data']
numpy,,,concatenate,['data'],['data']
numpy,,,expand_dims,['data'],['data']
numpy,,,linspace,['hyperparameter'],['data']
numpy,,,matmul,"['data', 'data']",['data']
numpy,,,ones,['hyperparameter'],['data']
numpy,,,split,['data'],['data']
numpy,,,squeeze,['data'],['data']
numpy,,,stack,['data'],['data']
numpy,,,zeros,['hyperparameter'],['data']
pandas,,data,apply,['function'],['data']
pandas,,data,applymap,['function'],['data']
pandas,,data,astype,['hyperparameter'],['data']
pandas,,data,copy,[],['data']
pandas,,data,describe,[],[]
pandas,,data,drop,['features'],['data']
pandas,,data,dropna,[],['data']
pandas,,data,fillna,[],['data']
pandas,,data,filter,['condition'],['features']
pandas,,data,groupby,[],['data']
pandas,,data,head,[],[]
pandas,,data,iloc,['columns_range'],['features']
pandas,,data,info,[],[]
pandas,,data,isna,[],[]
pandas,,data,isnull,[],[]
pandas,,data,join,['data'],['data']
pandas,,data,map,['mapping'],['data']
pandas,,data,mean,[],['metric']
pandas,,data,melt,['hyperparameter'],['data']
pandas,,data,merge,['data'],['data']
pandas,,data,notnull,[],[]
pandas,,data,nunique,[],[]
pandas,,data,pivot_table,['hyperparameter'],['data']
pandas,,data,plot,[],[]
pandas,,data,rolling,['hyperparameter'],['data']
pandas,,data,sample,['hyperparameter'],['data']
pandas,,data,shift,['hyperparameter'],['data']
pandas,,data,sort_values,['columns'],['data']
pandas,,data,tail,[],[]
pandas,,data,to_csv,['file_path'],[]
pandas,,data,to_excel,['file_path'],[]
pandas,,data,to_json,['file_path'],[]
pandas,,data,to_parquet,['file_path'],[]
pandas,,data,to_sql,['table_name'],[]
pandas,,data,unique,[],[]
pandas,,data,value_counts,[],[]
pandas,,features,drop,['features'],['features']
pandas,,trained_model,predict,['features'],['predictions']
pandas,,,DataFrame,['data'],['data']
pandas,,,Series,['data'],['data']
pandas,,,concat,['data'],['data']
pandas,,,get_dummies,['features'],['features']
pandas,,,read_csv,['file_path'],['data']
pandas,,,read_excel,['file_path'],['data']
pandas,,,read_json,['file_path'],['data']
pandas,,,read_parquet,['file_path'],['data']
pandas,,,read_sql,['query'],['data']
polars,,data,collect,[],['data']
polars,,data,filter,['condition'],['data']
polars,,data,group_by,['columns'],['data']
polars,,data,join,['data'],['data']
polars,,data,select,['columns'],['data']
polars,,data,with_columns,['expressions'],['data']
polars,,data,write_csv,['file_path'],[]
polars,,data,write_parquet,['file_path'],[]
polars,,,DataFrame,['data'],['data']
polars,,,read_csv,['file_path'],['data']
polars,,,read_parquet,['file_path'],['data']
polars,,,scan_csv,['file_path'],['data']
polars,,,scan_parquet,['file_path'],['data']
pyspark,ml,model,fit,['data'],['trained_model']
pyspark,ml,trained_model,transform,['data'],['predictions']
pyspark,ml.classification,,LogisticRegression,['hyperparameter'],['model']
pyspark,ml.classification,,RandomForestClassifier,['hyperparameter'],['model']
pyspark,ml.evaluation,metric,evaluate,['predictions'],['metric']
pyspark,ml.evaluation,,BinaryClassificationEvaluator,['hyperparameter'],['metric']
pyspark,ml.evaluation,,RegressionEvaluator,['hyperparameter'],['metric']
pyspark,ml.feature,data transformer,fit,['data'],['data transformer']
pyspark,ml.feature,data transformer,transform,['data'],['data']
pyspark,ml.feature,,StandardScaler,['hyperparameter'],['data transformer']
pyspark,ml.feature,,StringIndexer,['hyperparameter'],['data transformer']
pyspark,ml.feature,,VectorAssembler,['hyperparameter'],['data transformer']
pyspark,ml.regression,,LinearRegression,['hyperparameter'],['model']
pyspark,sql,data,filter,['condition'],['data']
pyspark,sql,data,groupBy,['columns'],['data']
pyspark,sql,data,join,['data'],['data']
pyspark,sql,data,select,['columns'],['data']
pyspark,sql,data,toPandas,[],['data']
pyspark,sql,data,withColumn,['expression'],['data']
pyspark,sql,data,write.parquet,['file_path'],[]
pyspark,sql,spark_session,createDataFrame,['data'],['data']
pyspark,sql,spark_session,read.csv,['file_path'],['data']
pyspark,sql,spark_session,read.parquet,['file_path'],['data']
pyspark,sql,,SparkSession.builder.getOrCreate,[],['spark_session']
sklearn,base,model,clone,['model'],['model']
sklearn,base,model,is_classifier,['model'],['metric']
sklearn,base,model,set_params,['hyperparameter'],['model']
