Library,Module,Caller,API Name,Inputs,Outputs
catboost,text_features,data,Tokenizer,['text data'],['tokenized data']
catboost,,data,Pool,"['features', 'labels', 'initial_formula_values']",['data']
catboost,,model,CatBoostRegressor,['hyperparameter'],['model']
catboost,,model,eval_metrics,['evaluation data'],['metric']
catboost,,model,fit,"['features', 'labels']",['trained_model']
catboost,,trained_model,get_feature_importance,['features'],['feature importance values']
catboost,,trained_model,save_model,"['model', 'format']",['model artifact']
catboost,,,CatBoostClassifier,['hyperparameter'],['model']
cv2,,model,compute,"['data', 'data']","['data', 'data']"
cv2,,model,detectAndCompute,['data'],"['data', 'data']"
cv2,,model,detectMultiScale,['data'],['data']
cv2,,,AKAZE_create,[],['helper']
cv2,,,BFMatcher,['hyperparameter'],['helper']
cv2,,,BRISK_create,[],['helper']
cv2,,,Canny,"['data', 'hyperparameter']",['data']
cv2,,,CascadeClassifier,['file_path'],['model']
cv2,,,FAST_create,[],['helper']
cv2,,,FlannBasedMatcher,['hyperparameter'],['helper']
cv2,,,GaussianBlur,"['data', 'hyperparameter']",['data']
cv2,,,HOGDescriptor,[],['helper']
cv2,,,HoughCircles,"['data', 'hyperparameter']",['data']
cv2,,,HoughLines,"['data', 'hyperparameter']",['data']
cv2,,,HoughLinesP,"['data', 'hyperparameter']",['data']
cv2,,,KAZE_create,[],['helper']
cv2,,,Laplacian,"['data', 'hyperparameter']",['data']
cv2,,,ORB_create,[],['helper']
cv2,,,SIFT_create,[],['helper']
cv2,,,Scharr,"['data', 'hyperparameter']",['data']
cv2,,,Sobel,"['data', 'hyperparameter']",['data']
cv2,,,VideoCapture,['file_path'],['model']
cv2,,,VideoWriter,"['file_path', 'hyperparameter']",[]
cv2,,,absdiff,"['data', 'data']",['data']
cv2,,,adaptiveThreshold,"['data', 'hyperparameter']",['data']
cv2,,,add,"['data', 'data']",['data']
cv2,,,addWeighted,"['data', 'hyperparameter', 'data', 'hyperparameter', 'hyperparameter']",['data']
cv2,,,arcLength,"['data', 'hyperparameter']",['metric']
cv2,,,bilateralFilter,"['data', 'hyperparameter']",['data']
cv2,,,bitwise_and,"['data', 'data']",['data']
cv2,,,bitwise_not,['data'],['data']
cv2,,,bitwise_or,"['data', 'data']",['data']
cv2,,,bitwise_xor,"['data', 'data']",['data']
cv2,,,blur,"['data', 'hyperparameter']",['data']
cv2,,,boundingRect,['data'],['data']
cv2,,,boxPoints,['data'],['data']
cv2,,,buildPyramid,"['data', 'hyperparameter']",['data']
cv2,,,calcHist,['data'],['data']
cv2,,,circle,"['data', 'data', 'hyperparameter', 'hyperparameter']",['data']
cv2,,,connectedComponents,['data'],"['metric', 'data']"
cv2,,,connectedComponentsWithStats,['data'],"['metric', 'data', 'data', 'data']"
cv2,,,contourArea,['data'],['metric']
cv2,,,cornerHarris,"['data', 'hyperparameter']",['data']
cv2,,,cornerSubPix,"['data', 'data', 'hyperparameter']",['data']
cv2,,,createCLAHE,['hyperparameter'],['helper']
cv2,,,cvtColor,"['data', 'hyperparameter']",['data']
cv2,,,dilate,"['data', 'hyperparameter']",['data']
cv2,,,distanceTransform,"['data', 'hyperparameter']",['data']
cv2,,,divide,"['data', 'data']",['data']
cv2,,,dnn.blobFromImage,['data'],['data']
cv2,,,dnn.blobFromImages,['data'],['data']
cv2,,,dnn.readNetFromCaffe,"['file_path', 'file_path']",['model']
cv2,,,dnn.readNetFromDarknet,"['file_path', 'file_path']",['model']
cv2,,,dnn.readNetFromONNX,['file_path'],['model']
cv2,,,dnn.readNetFromTensorflow,"['file_path', 'file_path']",['model']
cv2,,,drawContours,"['data', 'data', 'hyperparameter']",['data']
cv2,,,drawKeypoints,"['data', 'data']",['data']
cv2,,,drawMatches,"['data', 'data', 'data', 'data', 'data']",['data']
cv2,,,drawMatchesKnn,"['data', 'data', 'data', 'data', 'data']",['data']
cv2,,,ellipse,"['data', 'data', 'data', 'hyperparameter', 'hyperparameter']",['data']
cv2,,,equalizeHist,['data'],['data']
cv2,,,erode,"['data', 'hyperparameter']",['data']
cv2,,,fillPoly,"['data', 'data', 'hyperparameter']",['data']
cv2,,,filter2D,"['data', 'hyperparameter']",['data']
cv2,,,findContours,['data'],"['data', 'data']"
cv2,,,flip,"['data', 'hyperparameter']",['data']
cv2,,,getAffineTransform,"['data', 'data']",['data']
cv2,,,getPerspectiveTransform,"['data', 'data']",['data']
cv2,,,getRotationMatrix2D,['hyperparameter'],['data']
cv2,,,getStructuringElement,['hyperparameter'],['data']
cv2,,,goodFeaturesToTrack,"['data', 'hyperparameter']",['data']
cv2,,,grabCut,"['data', 'data', 'data', 'data', 'hyperparameter']",['data']
cv2,,,imread,['file_path'],['data']
cv2,,,imwrite,"['file_path', 'data']",[]
cv2,,,inRange,"['data', 'hyperparameter', 'hyperparameter']",['data']
cv2,,,kmeans,"['data', 'hyperparameter']","['metric', 'labels', 'data']"
cv2,,,line,"['data', 'data', 'data', 'hyperparameter']",['data']
cv2,,,matchTemplate,"['data', 'data', 'hyperparameter']",['data']
cv2,,,medianBlur,"['data', 'hyperparameter']",['data']
cv2,,,merge,['data'],['data']
cv2,,,minAreaRect,['data'],['data']
cv2,,,minEnclosingCircle,['data'],"['data', 'metric']"
cv2,,,minMaxLoc,['data'],"['metric', 'metric', 'data', 'data']"
cv2,,,morphologyEx,"['data', 'hyperparameter']",['data']
cv2,,,multiply,"['data', 'data']",['data']
cv2,,,normalize,"['data', 'hyperparameter']",['data']
cv2,,,polylines,"['data', 'data', 'hyperparameter', 'hyperparameter']",['data']
cv2,,,putText,"['data', 'hyperparameter', 'data', 'hyperparameter']",['data']
cv2,,,pyrDown,['data'],['data']
cv2,,,pyrUp,['data'],['data']
cv2,,,rectangle,"['data', 'data', 'data', 'hyperparameter']",['data']
cv2,,,resize,"['data', 'hyperparameter']",['data']
cv2,,,rotate,"['data', 'hyperparameter']",['data']
cv2,,,split,['data'],['data']
cv2,,,subtract,"['data', 'data']",['data']
cv2,,,threshold,"['data', 'hyperparameter']","['metric', 'data']"
cv2,,,transpose,['data'],['data']
