Library,Module,Caller,API Name,Inputs,Outputs
catboost,,,CatBoostClassifier,['hyperparameter'],['model']
catboost,,model,fit,"['features', 'labels']",['trained model']
sklearn,model.selection,,train_test_split,"['features', 'labels']","['features', 'validation features', 'labels', 'validation labels']"
pandas,,,read_csv,['file_path'],['data']
pandas,,,concat,['data'],['data']
pandas,,data,copy,[],['data']
pandas,,,get_dummies,['features'],['features']
pandas,,data,iloc,['columns_range'],['features']
pandas,,data,drop,['features'],['features']
pandas,,features,drop,['features'],['features']
pandas,,data,filter,['condition'],['features']
sklearn,preprocessing,,StandardScaler,['features'],['features']
sklearn,preprocessing,,LabelEncoder,['labels'],['labels']
sklearn,linear_model,,LogisticRegression,"['features', 'labels']",['model']
sklearn,linear_model,model,fit,"['train_features', 'train_labels']",['trained_model']
sklearn,linear_model,trained_model,predict,['features'],['predictions']
tensorflow,keras,,Sequential,['layers'],['model']
tensorflow,keras,model,compile,"['optimizer', 'loss_function', 'metrics']",['model']
tensorflow,keras,compiled_model,fit,"['features', 'labels']",['trained_model']
tensorflow,keras,trained_model,predict,['test_features'],['predictions']
catboost,,model,save_model,"['model', 'format']",['model artifact']
catboost,text_features,data,Tokenizer,['text data'],['tokenized data']
catboost,,model,CatBoostRegressor,['hyperparameter'],['model']
catboost,,data,Pool,"['features', 'labels', 'initial_formula_values']",['data']
catboost,,model,get_feature_importance,['features'],['feature importance values']
catboost,,model,eval_metrics,['evaluation data'],['metric']
