Library,Module,Caller,API Name,Inputs
,,data,Subscript,['selected columns']
,,data,drop,['dropped columns']
sklearn,metrics.pairwise,data,,[]
sklearn,metrics,metric,,[]
sklearn,neighbors,model,,[]
sklearn,preprocessing,data,,[]
sklearn,preprocessing,None,,[]
sklearn,decomposition,data,,[]
sklearn,datasets,data,,[]
sklearn,utils.validation,model,,[]
sklearn,metrics.pairwise,data,,[]
sklearn,pipeline,None,,[]
sklearn,metrics.pairwise,data,,[]
sklearn,multioutput,model,,[]
sklearn,model_selection,model,,[]
sklearn,preprocessing,data,,[]
sklearn,feature_selection,model,,[]
sklearn,preprocessing,None,,[]
